,tempi,Vin,Vout1,Vout0.1,Vout0.01
0,0.0,1,0.0,0.0,0.0
1,0.001,1,0.0009995003049479386,0.009950178109307947,0.09516256786565053
2,0.002,1,0.0019980015901182716,0.019801323182094897,0.18126923730152786
3,0.003,1,0.0029955048164688964,0.029554453137257925,0.2591817868618432
4,0.004,1,0.00399201109099832,0.03921054681113342,0.32967994337253403
5,0.005,1,0.004987520992999777,0.048770560560927455,0.3934693293705472
6,0.006,1,0.0059820356283079145,0.05823545077181085,0.45118835274891067
7,0.007,1,0.006975556041756526,0.06760616415832837,0.5034146846312676
8,0.008,1,0.007968083278179404,0.07688363782815572,0.5506710217838662
9,0.009000000000000001,1,0.008959618382410342,0.08606879953832322,0.5934303050042677
10,0.01,1,0.009950162399283124,0.09516256785596541,0.6321205463722956
11,0.011,1,0.010939716373631544,0.10416585257273162,0.667128918073696
12,0.012,1,0.011928281350289397,0.11307955178947288,0.6988057992001533
13,0.013000000000000001,1,0.012915858374090467,0.12190455780873496,0.727468217862559
14,0.014,1,0.013902448489868548,0.13064175357076616,0.7534030484398979
15,0.015,1,0.014888052742457431,0.13929201270311609,0.776869852856688
16,0.016,1,0.015872672173513337,0.14785620041856037,0.7981034951822054
17,0.017,1,0.01685630758636105,0.15633517291985546,0.8173164899793965
18,0.018000000000000002,1,0.017838959832049934,0.16472977835118338,0.8347011282590242
19,0.019,1,0.018820629894802272,0.17304085606976205,0.8504313999084533
20,0.02,1,0.019801318758840378,0.1812692373001042,0.8646647374887891
21,0.021,1,0.02078102740838654,0.18941574586225413,0.8775435918637756
22,0.022,1,0.02175975682766305,0.1974811964391936,0.8891968626217405
23,0.023,1,0.022737508000892213,0.2054663953554895,0.8997411779388695
24,0.024,1,0.023714281912296326,0.21337214076201746,0.9092820674541434
25,0.025,1,0.024690079546097678,0.22119922273433654,0.9179150222910268
26,0.026000000000000002,1,0.025664901886518567,0.22894842337106333,0.9257264422343304
27,0.027,1,0.026638749917781288,0.2366205168922467,0.9327945068416257
28,0.028,1,0.027611624624108145,0.2442162698870523,0.9391899569471829
29,0.029,1,0.02858352695718179,0.2517364425199388,0.9449767997284159
30,0.03,1,0.029554457850350664,0.2591817869554052,0.9502129540813331
31,0.031,1,0.03052441827572541,0.2665530478062459,0.9549508142450319
32,0.032,1,0.03149340920562795,0.2738509624538775,0.9592378039509611
33,0.033,1,0.03246143161238024,0.2810762611572368,0.9631168373009892
34,0.034,1,0.0334284864683042,0.2882296671616775,0.9666267307778234
35,0.035,1,0.03439457474572179,0.29531189680786873,0.9698026183524137
36,0.036000000000000004,1,0.03535969741695492,0.30232365955390267,0.9726762792842508
37,0.037,1,0.03632385545432553,0.30926565543176815,0.9752764750319497
38,0.038,1,0.037287049830155586,0.31613857771590986,0.9776292284071626
39,0.039,1,0.03824928151676701,0.3229431135919486,0.9797580893498068
40,0.04,1,0.039210551486481726,0.3296799433535361,0.9816843624493324
41,0.041,1,0.0401708599907815,0.33634974046828214,0.9834273256868149
42,0.042,1,0.04113020956107281,0.34295317164368244,0.9850044235877766
